,EEG_1,EEG_2,EEG_3,EEG_5,EEG_6,EEG_7,EEG_8,EEG_9,EEG_10,GSR_4,EMOTION_1,EMOTION_2,EMOTION
53,0.9552568843560073,0.024116505205073573,0.0005816058233063406,1.766650229166366,0.25651009558990484,0.1471862813963273,0.29837239038894253,0.41753327432165,0.6043159668533294,395.839520256092,1.0,1.0,1.0
54,0.9201930659528927,0.03174888106568599,0.0010079914489230742,1.204517651013072,0.07557776322827568,0.1745930587957647,0.3283866202633451,0.4921214344993546,0.6880667293275264,96.01100879321345,1.0,1.0,1.0
55,0.949071052480343,0.024531113933973146,0.0006017755508415715,1.3439351422041366,0.12987089389968962,0.16512705964390445,0.34704087131438593,0.4783598225164136,0.6276325734493188,393.7234155890036,1.0,4.0,4.0
56,0.8984613931189162,0.0344263367265475,0.0011851726604096332,1.1901841203191066,0.09641476690199324,0.2163754739439143,0.4182555887725334,0.6792042745909327,0.8898574748059995,265.1071040558217,0.0,0.0,0.0
57,0.9627111476646065,0.020000659919652754,0.0004000263972216041,1.7240004267723212,0.24448523859559554,0.15848576248015273,0.2992560561244992,0.4273509092917483,0.5842124971962767,654.6841414033645,1.0,3.0,3.0
58,0.9478955657673315,0.0250635311268435,0.000628180592546253,1.1550492540114157,0.10072467236205483,0.1710186780008413,0.3335561385886964,0.4890674432372739,0.6565130473801649,373.7424241851122,0.0,0.0,0.0
59,0.8784576880338304,0.034976652976429504,0.0012233662534335747,1.6873749761623336,0.13404613070972488,0.18579818149136137,0.31920976048848376,0.4714230758999618,0.7308875085427924,412.4213159272487,1.0,0.0,1.0
60,0.9170928067737882,0.0424133749633784,0.001798894375784134,1.3431954252556595,0.09773419534249789,0.2144541411000499,0.32890599623789707,0.6125755682355856,0.8400074271245244,395.839520256092,4.0,1.0,4.0
61,0.9583289585435928,0.027583738655505396,0.0007608626382152227,1.26446755646747,0.11623307867475206,0.2369541914130704,0.415131934848624,0.6412623451909336,0.8788643263550382,522.0322296090351,1.0,0.0,1.0
62,0.9463216205955435,0.03040369827719726,0.0009243848689308476,1.5176268832489954,0.17420658453372997,0.1597807002492116,0.31452492797495796,0.468451006110279,0.587786664902119,353.22740517940633,1.0,1.0,1.0
63,0.9750545131396585,0.014296802144164877,0.00020439855154939744,1.6429410119517347,0.17858109807307374,0.20719851817275486,0.3911296024940397,0.5947071077466928,0.8104612830307134,265.1071040558217,0.0,0.0,0.0
64,0.9627111476646065,0.020000659919652754,0.0004000263972216041,1.7240004267723212,0.24448523859559554,0.15848576248015273,0.2992560561244992,0.4273509092917483,0.5842124971962767,654.6841414033645,1.0,1.0,1.0
65,0.9585078233391032,0.021103509902174494,0.000445358130191177,1.6820935578414427,0.12808916799856354,0.17669494348422032,0.35386584669615073,0.5002219355051205,0.6500076878993276,373.7424241851122,0.0,0.0,0.0
66,0.8784576880338304,0.034976652976429504,0.0012233662534335747,1.6873749761623336,0.13404613070972488,0.18579818149136137,0.31920976048848376,0.4714230758999618,0.7308875085427924,412.4213159272487,0.0,1.0,1.0
67,0.9691113202796338,0.019612043921807383,0.0003846322667909019,1.6227852396624116,0.2634565968084111,0.1691689955677922,0.3202130117753635,0.46756070780155873,0.6279930853801595,395.839520256092,0.0,1.0,1.0
68,0.9584405827545229,0.025681455087138646,0.0006595371353927195,1.2974279805634235,0.6813721642894324,0.07784426811549883,0.1417493661304664,0.18118905384165535,0.2385048364756969,522.0322296090351,0.0,0.0,0.0
69,0.9750545131396585,0.014296802144164877,0.00020439855154939744,1.6429410119517347,0.17858109807307374,0.20719851817275486,0.3911296024940397,0.5947071077466928,0.8104612830307134,265.1071040558217,0.0,0.0,0.0
70,0.9529077497954691,0.022214936543303275,0.0004935034056229912,1.5689072932771264,0.16737283779320067,0.1828646513600651,0.34463483076401247,0.5114768774523106,0.6859269325864582,265.1071040558217,0.0,0.0,0.0
71,0.9626493227006937,0.044509692060962336,0.0019811126873616938,1.6957332518292818,0.1416273362196964,0.20622915412629933,0.37122208468595164,0.5471332421257488,0.7530075684836243,299.84982902193576,4.0,0.0,4.0
72,0.9608788469969938,0.025826863272178514,0.0006670268664798035,1.708611075079038,0.1575224205355348,0.19945235051986948,0.34262319048308204,0.5204344828726274,0.7723965522140858,755.9911487264651,0.0,0.0,0.0
